day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;RAINFOREST_RESIN;9998;9;9995;23;;;10005;23;;;;;10001.5;0.0
0;0;KELP;2028;23;;;;;2032;23;;;;;2030.0;0.0
0;0;SQUID_INK;1968;23;;;;;1971;23;;;;;1969.5;0.0
0;100;SQUID_INK;1970;1;1969;2;1967;22;1971;22;;;;;1970.5;0.0
0;100;KELP;2031;1;2030;2;2028;22;2032;22;;;;;2031.5;0.0
0;100;RAINFOREST_RESIN;10002;1;10000;2;9998;4;10004;1;10005;21;;;10003.0;0.0
0;200;SQUID_INK;1966;1;1965;21;;;1969;22;;;;;1967.5;2.9150390625
0;200;RAINFOREST_RESIN;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;2.0
0;200;KELP;2029;1;2028;21;;;2032;22;;;;;2030.5;0.80419921875
0;300;SQUID_INK;1967;1;1965;26;;;1968;26;;;;;1967.5;3.3172607421875
0;300;KELP;2031;1;2029;26;;;2032;26;;;;;2031.5;1.376220703125
0;300;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;5.0
0;400;RAINFOREST_RESIN;9998;8;9996;2;9995;26;10004;2;10005;26;;;10001.0;5.0
0;400;KELP;2029;2;2028;26;;;2032;28;;;;;2030.5;2.5263671875
0;400;SQUID_INK;1966;28;;;;;1969;28;;;;;1967.5;2.4476318359375
0;500;SQUID_INK;1966;24;;;;;1968;3;1970;24;;;1967.0;1.9185791015625
0;500;KELP;2028;24;;;;;2030;3;2031;24;;;2029.0;3.74951171875
0;500;RAINFOREST_RESIN;9998;8;9996;1;9995;23;10004;1;10005;23;;;10001.0;5.0
0;600;SQUID_INK;1967;5;1965;30;;;1968;30;;;;;1967.5;3.252685546875
0;600;RAINFOREST_RESIN;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;5.0
0;600;KELP;2030;5;2028;30;;;2031;30;;;;;2030.5;3.78759765625
0;700;SQUID_INK;1967;22;;;;;1970;23;;;;;1968.5;1.5045166015625
0;700;KELP;2028;22;;;;;2032;23;;;;;2030.0;17.0146484375
0;700;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;5.0
0;800;RAINFOREST_RESIN;9996;1;9995;24;;;10000;3;10004;1;10005;24;9998.0;5.0
0;800;KELP;2028;25;;;;;2030;3;2032;25;;;2029.0;17.1064453125
0;800;SQUID_INK;1967;25;;;;;1968;3;1970;25;;;1967.5;1.662841796875
0;900;SQUID_INK;1966;21;;;;;1970;21;;;;;1968.0;2.0224609375
0;900;KELP;2029;21;;;;;2032;21;;;;;2030.5;19.88671875
0;900;RAINFOREST_RESIN;9996;1;9995;20;;;9998;11;10004;1;10005;20;9997.0;8.0
0;1000;SQUID_INK;1967;31;;;;;1970;31;;;;;1968.5;1.258544921875
0;1000;RAINFOREST_RESIN;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;30.0
0;1000;KELP;2029;31;;;;;2032;31;;;;;2030.5;21.3955078125
0;1100;SQUID_INK;1968;22;;;;;1971;22;;;;;1969.5;0.630859375
0;1100;KELP;2029;22;;;;;2032;22;;;;;2030.5;21.5146484375
0;1100;RAINFOREST_RESIN;9996;1;9995;21;;;10002;6;10004;1;10005;21;9999.0;30.0
0;1200;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;30.0
0;1200;KELP;2029;22;;;;;2033;23;;;;;2031.0;24.5126953125
0;1200;SQUID_INK;1968;22;;;;;1971;23;;;;;1969.5;0.242919921875
0;1300;SQUID_INK;1968;25;;;;;1971;25;;;;;1969.5;0.5072021484375
0;1300;KELP;2029;25;;;;;2033;25;;;;;2031.0;25.59765625
0;1300;RAINFOREST_RESIN;10002;1;9995;25;;;10005;25;;;;;10003.5;30.0
0;1400;SQUID_INK;1968;23;;;;;1970;6;1972;23;;;1969.0;-0.09716796875
0;1400;RAINFOREST_RESIN;9995;23;;;;;10000;6;10005;23;;;9997.5;32.0
0;1400;KELP;2029;23;;;;;2030;6;2033;23;;;2029.5;24.96875
0;1500;SQUID_INK;1971;1;1969;21;;;1972;21;;;;;1971.5;-0.457763671875
0;1500;KELP;2032;1;2029;21;;;2033;21;;;;;2032.5;31.462890625
0;1500;RAINFOREST_RESIN;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;32.0
0;1600;RAINFOREST_RESIN;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;40.0
0;1600;KELP;2029;30;;;;;2033;30;;;;;2031.0;33.3984375
0;1600;SQUID_INK;1970;30;;;;;1974;30;;;;;1972.0;-2.009521484375
0;1700;SQUID_INK;1970;28;;;;;1972;8;1973;28;;;1971.0;-1.2869873046875
0;1700;KELP;2029;28;;;;;2031;8;2033;28;;;2030.0;33.8671875
0;1700;RAINFOREST_RESIN;9995;28;;;;;10005;28;;;;;10000.0;40.0
0;1800;SQUID_INK;1972;4;1971;23;;;1974;23;;;;;1973.0;-2.442626953125
0;1800;RAINFOREST_RESIN;10000;4;9995;23;;;10002;10;10005;23;;;10001.0;40.0
0;1800;KELP;2031;4;2029;23;;;2033;23;;;;;2032.0;32.5703125
0;1900;SQUID_INK;1969;31;;;;;1972;32;;;;;1970.5;-0.449462890625
0;1900;KELP;2030;31;;;;;2033;32;;;;;2031.5;36.609375
0;1900;RAINFOREST_RESIN;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;40.0
0;2000;RAINFOREST_RESIN;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;40.0
0;2000;KELP;2030;23;;;;;2033;23;;;;;2031.5;37.10546875
0;2000;SQUID_INK;1972;23;;;;;1975;23;;;;;1973.5;-3.6285400390625
0;2100;KELP;2030;28;;;;;2032;5;2033;2;2034;26;2031.0;42.28515625
0;2100;SQUID_INK;1971;28;;;;;1972;5;1974;28;;;1971.5;-2.189208984375
0;2100;RAINFOREST_RESIN;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;40.0
0;2200;KELP;2031;4;2030;21;;;2034;21;;;;;2032.5;43.09375
0;2200;SQUID_INK;1972;5;1971;20;;;1975;21;;;;;1973.5;-3.109619140625
0;2200;RAINFOREST_RESIN;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;40.0
0;2300;SQUID_INK;1972;5;1971;24;;;1975;24;;;;;1973.5;-3.0408935546875
0;2300;RAINFOREST_RESIN;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;48.0
0;2300;KELP;2030;29;;;;;2033;24;;;;;2031.5;41.142578125
0;2400;RAINFOREST_RESIN;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;48.0
0;2400;KELP;2030;22;;;;;2033;22;;;;;2031.5;40.3984375
0;2400;SQUID_INK;1973;22;;;;;1976;22;;;;;1974.5;-4.2742919921875
0;2500;KELP;2030;23;;;;;2033;2;2034;21;;;2031.5;42.224609375
0;2500;SQUID_INK;1973;2;1972;21;;;1976;23;;;;;1974.5;-4.148681640625
0;2500;RAINFOREST_RESIN;9998;3;9996;2;9995;21;10004;2;10005;21;;;10001.0;48.0
