timestamp,buyer,seller,symbol,currency,price,quantity,source_file
100,,,RAINFOREST_RESIN,SEASHELLS,10002.0,1,trades_round_1_day_0.csv
300,,,KELP,SEASHELLS,2029.0,6,trades_round_1_day_0.csv
300,,,RAINFOREST_RESIN,SEASHELLS,9998.0,2,trades_round_1_day_0.csv
300,,,RAINFOREST_RESIN,SEASHELLS,9998.0,1,trades_round_1_day_0.csv
300,,,SQUID_INK,SEASHELLS,1965.0,6,trades_round_1_day_0.csv
500,,,KELP,SEASHELLS,2031.0,1,trades_round_1_day_0.csv
500,,,RAINFOREST_RESIN,SEASHELLS,10004.0,1,trades_round_1_day_0.csv
500,,,RAINFOREST_RESIN,SEASHELLS,10002.0,1,trades_round_1_day_0.csv
500,,,SQUID_INK,SEASHELLS,1970.0,1,trades_round_1_day_0.csv
1300,,,KELP,SEASHELLS,2031.0,2,trades_round_1_day_0.csv
1300,,,SQUID_INK,SEASHELLS,1970.0,2,trades_round_1_day_0.csv
1300,,,SQUID_INK,SEASHELLS,1968.0,5,trades_round_1_day_0.csv
1400,,,KELP,SEASHELLS,2029.0,1,trades_round_1_day_0.csv
1400,,,SQUID_INK,SEASHELLS,1969.0,1,trades_round_1_day_0.csv
1500,,,KELP,SEASHELLS,2032.0,1,trades_round_1_day_0.csv
1500,,,RAINFOREST_RESIN,SEASHELLS,10002.0,1,trades_round_1_day_0.csv
1500,,,SQUID_INK,SEASHELLS,1971.0,1,trades_round_1_day_0.csv
1700,,,RAINFOREST_RESIN,SEASHELLS,10005.0,6,trades_round_1_day_0.csv
2000,,,KELP,SEASHELLS,2030.0,7,trades_round_1_day_0.csv
2000,,,SQUID_INK,SEASHELLS,1972.0,7,trades_round_1_day_0.csv
2400,,,SQUID_INK,SEASHELLS,1975.0,10,trades_round_1_day_0.csv
2700,,,RAINFOREST_RESIN,SEASHELLS,9998.0,5,trades_round_1_day_0.csv
2800,,,KELP,SEASHELLS,2033.0,1,trades_round_1_day_0.csv
2900,,,RAINFOREST_RESIN,SEASHELLS,9998.0,1,trades_round_1_day_0.csv
3100,,,KELP,SEASHELLS,2031.0,1,trades_round_1_day_0.csv
3100,,,SQUID_INK,SEASHELLS,1972.0,1,trades_round_1_day_0.csv
3300,,,RAINFOREST_RESIN,SEASHELLS,9996.0,2,trades_round_1_day_0.csv
3300,,,RAINFOREST_RESIN,SEASHELLS,9996.0,2,trades_round_1_day_0.csv
3700,,,KELP,SEASHELLS,2033.0,1,trades_round_1_day_0.csv
3700,,,SQUID_INK,SEASHELLS,1973.0,1,trades_round_1_day_0.csv
3700,,,SQUID_INK,SEASHELLS,1972.0,4,trades_round_1_day_0.csv
3800,,,KELP,SEASHELLS,2030.0,11,trades_round_1_day_0.csv
3800,,,SQUID_INK,SEASHELLS,1971.0,11,trades_round_1_day_0.csv
4200,,,KELP,SEASHELLS,2030.0,3,trades_round_1_day_0.csv
4200,,,KELP,SEASHELLS,2030.0,2,trades_round_1_day_0.csv
4200,,,SQUID_INK,SEASHELLS,1971.0,3,trades_round_1_day_0.csv
4200,,,SQUID_INK,SEASHELLS,1971.0,2,trades_round_1_day_0.csv
4300,,,KELP,SEASHELLS,2030.0,1,trades_round_1_day_0.csv
4300,,,RAINFOREST_RESIN,SEASHELLS,9996.0,2,trades_round_1_day_0.csv
4300,,,RAINFOREST_RESIN,SEASHELLS,9995.0,1,trades_round_1_day_0.csv
4300,,,RAINFOREST_RESIN,SEASHELLS,9996.0,1,trades_round_1_day_0.csv
4300,,,SQUID_INK,SEASHELLS,1970.0,1,trades_round_1_day_0.csv
4400,,,KELP,SEASHELLS,2030.0,1,trades_round_1_day_0.csv
4400,,,RAINFOREST_RESIN,SEASHELLS,9998.0,1,trades_round_1_day_0.csv
4400,,,SQUID_INK,SEASHELLS,1971.0,1,trades_round_1_day_0.csv
4800,,,KELP,SEASHELLS,2031.0,1,trades_round_1_day_0.csv
4800,,,RAINFOREST_RESIN,SEASHELLS,10002.0,3,trades_round_1_day_0.csv
4800,,,SQUID_INK,SEASHELLS,1973.0,1,trades_round_1_day_0.csv
4900,,,RAINFOREST_RESIN,SEASHELLS,9998.0,1,trades_round_1_day_0.csv
4900,,,RAINFOREST_RESIN,SEASHELLS,9998.0,4,trades_round_1_day_0.csv
5400,,,KELP,SEASHELLS,2030.0,6,trades_round_1_day_0.csv
5400,,,SQUID_INK,SEASHELLS,1973.0,6,trades_round_1_day_0.csv
6300,,,KELP,SEASHELLS,2029.0,1,trades_round_1_day_0.csv
6300,,,SQUID_INK,SEASHELLS,1973.0,1,trades_round_1_day_0.csv
6700,,,RAINFOREST_RESIN,SEASHELLS,10002.0,4,trades_round_1_day_0.csv
6800,,,KELP,SEASHELLS,2029.0,2,trades_round_1_day_0.csv
6800,,,RAINFOREST_RESIN,SEASHELLS,9998.0,1,trades_round_1_day_0.csv
6800,,,RAINFOREST_RESIN,SEASHELLS,9996.0,1,trades_round_1_day_0.csv
6800,,,RAINFOREST_RESIN,SEASHELLS,9996.0,1,trades_round_1_day_0.csv
6800,,,SQUID_INK,SEASHELLS,1975.0,1,trades_round_1_day_0.csv
6800,,,SQUID_INK,SEASHELLS,1975.0,1,trades_round_1_day_0.csv
6900,,,KELP,SEASHELLS,2032.0,1,trades_round_1_day_0.csv
6900,,,SQUID_INK,SEASHELLS,1975.0,1,trades_round_1_day_0.csv
7200,,,KELP,SEASHELLS,2033.0,1,trades_round_1_day_0.csv
7200,,,RAINFOREST_RESIN,SEASHELLS,10004.0,1,trades_round_1_day_0.csv
7200,,,SQUID_INK,SEASHELLS,1979.0,1,trades_round_1_day_0.csv
7300,,,KELP,SEASHELLS,2030.0,15,trades_round_1_day_0.csv
7300,,,SQUID_INK,SEASHELLS,1975.0,15,trades_round_1_day_0.csv
